FeatureID	Taxon
CR954246.2982280.2983807	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas_agarivorans-aliena-arctica-atlantica-haloplanktis-issachenkonii-nigrifaciens
AJ012466	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter;Komagataeibacter_europaeus-intermedius-medellinensis-nataicola-rhaeticus-saccharivorans-xylinus
AY509899	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium_aethiopicum-binae-ecuadorense-esperanzae-etli-phaseoli-pisi
CP031675.877641.879283	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Alkalihalobacillus-Bacillus;Alkalihalobacillus_gibsonii:Bacillus_subtilis-tequilensis-virus
NR_115285	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus_kaustophilus-thermoleovorans-thermoparaffinivorans:[Bacillus]_caldolyticus
CP018312.3321446.3323007	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus-campbellii-coralliilyticus-harveyi-owensii-rotiferianus
CP015443.3041453.3043007	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-siamensis-subtilis-vallismortis-velezensis
CP012870.431955.433510	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales-Vibrionales;Enterobacteriaceae-Vibrionaceae;Escherichia-Escherichia-Shigella-Shigella-Vibrio;Escherichia_coli-fergusonii:Shigella_boydii-dysenteriae:Vibrio_cholerae:synthetic_Escherichia
CP010512.1634542.1636097	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter-Leclercia-Lelliottia;Enterobacter_cloacae-ludwigii-roggenkampii:Leclercia_adecarboxylata:Lelliottia_nimipressuralis
HF558390	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_amygdali-congelans-frederiksbergensis-savastanoi-syringae-tremae
CP013438.2042059.2043594	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia_cenocepacia-cepacia-contaminans-latens-metallica-vietnamiensis
AY457072	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium-Mycobacteroides;Mycobacterium_chelonae:Mycobacteroides_abscessus-chelonae-saopaulense:[Mycobacterium]_chelonae-stephanolepidis
X87273	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium_erythrophlei-japonicum-liaoningense-lupini-yuanmingense:alpha_proteobacterium
EU862566.1.1565	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-subtilis-vallismortis-velezensis
CP015863.3144430.3145991	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_azureus-campbellii-diabolicus-harveyi-rotiferianus
D16281	Bacteria;Firmicutes-Proteobacteria;Alphaproteobacteria-Bacilli;Bacillales-Rhodospirillales;Acetobacteraceae-Bacillaceae;Acetobacter-Bacillus;Acetobacter_pasteurianus:Bacillus_cereus-mobilis-thuringiensis-toyonensis
JX680133	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_altitudinis-pumilus-safensis-zhangzhouensis
X60406	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_bestiarum-piscicola-salmonicida-sobria:[Haemophilus]_piscium
CP013483.1649741.1651296	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli:Shigella_boydii-dysenteriae-flexneri-sonnei
KC951917.1.1500	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Buttiauxella;Buttiauxella_agrestis-ferragutiae-gaviniae-noackiae
CP003678.277104.278653	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae-Erwiniaceae;Enterobacter-Klebsiella-Pantoea;Enterobacter_cloacae-kobei-ludwigii:Klebsiella_michiganensis:Pantoea_agglomerans
CP003218.1658129.1659682	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter-Klebsiella;Enterobacter_bugandensis-cancerogenus-cloacae:Klebsiella_michiganensis-oxytoca
AJ492830	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_azotoformans-cedrina-fluorescens-libanensis-synxantha
AF064460	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_extremaustralis-fluorescens-reactans-trivialis-veronii
KF475873.1.1505	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_fluorescens-koreensis-putida-teessidea
AM113784	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus-Latilactobacillus;Lactobacillus_sakei:Latilactobacillus_sakei
CP019059.2526976.2528537	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus-antiquarius-azureus-parahaemolyticus
CP014335.3417019.3418581	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus_kaustophilus-thermoleovorans:[Bacillus]_caldolyticus-caldotenax
CP006863	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cereus-mobilis-thuringiensis-toyonensis
KJ812420	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cereus-pacificus-paranthracis-thuringiensis
CP014179.29101.30656	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_anthracis-cereus-thuringiensis:[Bacillus_thuringiensis]
NR_116873	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus-Priestia;Bacillus_megaterium:Priestia_aryabhattai-flexa
FN597644	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-atrophaeus-siamensis-subtilis
AB021198	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-atrophaeus-subtilis-vallismortis
LS483348.16329.17865	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_equinus-infantarius-luteciae-lutetiensis
AJ831844	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_aerophilus-altitudinis-pumilus-stratosphericus
FJ230077	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_caviae-dhakensis-hydrophila-taiwanensis
CP013025.3583169.3584724	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli:Shigella_boydii-flexneri-sonnei
CP024293.1614188.1615709	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli:Shigella_dysenteriae-flexneri-sonnei
CP017184.4479915.4481470	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter_asburiae-cloacae-ludwigii-roggenkampii
CP012554.1822204.1823745	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter_braakii-freundii-portucalensis-youngae
NR_118011	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter_cancerogenus-cloacae-kobei-ludwigii
CP015033.896839.898374	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia_cenocepacia-cepacia-multivorans-pseudomultivorans
CP013362.19245.20780	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia_cepacia-diffusa-stagnalis-territorii
CP008730.1235391.1236909	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia_cepacia-latens-multivorans-pseudomultivorans
EU862561.1.1498	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales-Xanthomonadales;Pseudomonadaceae-Xanthomonadaceae;Pseudomonas-Stenotrophomonas;Pseudomonas_plecoglossicida-putida:Stenotrophomonas_rhizophila
AY787208	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_brenneri-marginalis-veronii-yamanorum
AF468452	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_fluorescens-granadensis-koreensis-moraviensis
JN814372	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_arsenicoxydans-lini-prosekii:bacterium_G
EU307111	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_alcaliphila-chengduensis-nitroreducens-sihuiensis
EU103629	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_monteilii-plecoglossicida-putida-taiwanensis
NR_114794	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_asplenii-fuscovaginae-gingeri-putida
NR_113628	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella_bronchiseptica-holmesii-parapertussis-pertussis
NR_102854	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales-Xanthomonadales;Pseudomonadaceae-Xanthomonadaceae;Pseudomonas-Stenotrophomonas;Pseudomonas_entomophila-monteilii-putida:Stenotrophomonas_rhizophila
CP013861.524564.526110	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_fragi-lundensis-taetrolens-versuta
CP014025.765460.766997	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_cremoricolorata-fulva-parafulva
FNKJ01000002.1076.2616	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_baetica-fluorescens-helmanticensis-moorei
GU564404	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycolicibacter;Mycolicibacter_algericus-arupensis-sinensis-terrae
AF503496	Bacteria;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces_albidoflavus-anthocyanicus-lividans-violaceoruber
AY457067	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium-Mycolicibacterium;Mycobacterium_farcinogenes-houstonense-senegalense:Mycolicibacterium_conceptionense
CP000848.876489.877996	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia_peacockii-philipii-rickettsii-slovaca
AY372184	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae-Nitrobacteraceae;Bradyrhizobium-Seliberia;Bradyrhizobium_betae-cytisi-rifense:Seliberia_stellata
AJ558025	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium_canariense-japonicum-liaoningense-ottawaense
U87759	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia-Bradyrhizobium;Afipia_birgiae-broomeae:Bradyrhizobium_canariense-lablabi
AB681159	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ensifer-Sinorhizobium;Ensifer_adhaerens:Sinorhizobium_americanum-arboris-medicae
AY738130	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium-Rhizobium;Agrobacterium_rhizogenes-tumefaciens:Rhizobium_jaguaris-lusitanum
AY776289	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella-Ochrobactrum;Brucella_anthropi-cytisi-lupini:alpha_proteobacterium
JN558651	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium_anhuiense-gallicum-laguerreae-leguminosarum
U86343	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium-Rhizobium;Agrobacterium_sullae:Rhizobium_etli-gallicum-mongolense
HQ845193	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Cryobacterium;Cryobacterium_flavum-luteum-psychrophilum-ruanii
ACGH01000101.75.1636	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus-Lentilactobacillus-Levilactobacillus;Lactobacillus_hilgardii:Lentilactobacillus_buchneri:Levilactobacillus_brevis
D79212	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus-Lactobacillus;Lacticaseibacillus_casei-paracasei:Lactobacillus_zeae
NR_113332	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus-Lactobacillus;Lacticaseibacillus_rhamnosus:Lactobacillus_zeae
AM039966	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus_haemoperoxidus-moraviensis-silesiacus
CP032308.2371329.2372896	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus_durans-faecalis-faecium
CP014067.726474.728038	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus_casseliflavus-gallinarum-saccharolyticus
DQ026669.1.1574	Bacteria;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces_albus-graminis
NR_115284	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus_stearothermophilus-vulcani
CP016552.1630196.1631741	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus_lituanicus-stearothermophilus-vulcani
AJ293802	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_fortis-pelagia-pelagius
NR_119050	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus-campbellii-parahaemolyticus
CP017889.569983.571523	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus-diabolicus-parahaemolyticus
CP017891.3415202.3416742	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus-antiquarius-parahaemolyticus
CP017071.3536768.3538330	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus_kaustophilus-thermoleovorans:[Bacillus]_caldolyticus
CP025792.2339604.2341136	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_jasicida-natriegens-owensii
CP017916.3242656.3244198	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus-splendidus-tasmaniensis
CP031056.1787649.1789183	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_gigantis-splendidus-tasmaniensis
MH044690	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;Macrococcus_bohemicus-epidermidis-goetzii
CP013055.968640.970195	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_anthracis-cereus-thuringiensis
CP011145.245878.247427	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cereus-phage-thuringiensis
CP023245.8907.10462	Bacteria;Firmicutes;Bacilli;Bacillales-Lactobacillales;Bacillaceae-Streptococcaceae;Bacillus-Streptococcus;Bacillus_cereus-thuringiensis:Streptococcus_pneumoniae
CP031642.87772.89327	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_anthracis-cereus-thuringiensis
CP001903.88837.90376	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cereus-phage-thuringiensis
CP009605.4175850.4177387	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_anthracis-cereus-thuringiensis
AE016877.82216.83727	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cereus-phage-thuringiensis
AE016877.87924.89435	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_anthracis-cereus-phage
EF114313	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus-Priestia;Bacillus_megaterium-meqaterium:Priestia_aryabhattai
D83355	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus_argenteus-aureus-phage
HE582781	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cabrialesii-mojavensis-subtilis
AB255669	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-subtilis-velezensis
AF074970	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_halotolerans-intestinalis-subtilis
MN536904	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_intestinalis-stercoris-subtilis
CP000560.91180.92734	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-vallismortis-velezensis
LS483462.17605.19141	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_equinus-gallolyticus-pasteurianus
CP015911.19917.21471	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-vallismortis-velezensis
CP016371.2925779.2927333	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-vallismortis-velezensis
CP016371.587346.588900	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-vallismortis-velezensis
CP016371.91213.92767	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-vallismortis-velezensis
CP018007.3688219.3689773	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-vallismortis-velezensis
CP015911.3915940.3917494	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_amyloliquefaciens-vallismortis-velezensis
FR733689	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Mesobacillus;Mesobacillus_boroniphilus-selenatarsenatis-subterraneus
CP017704.2478512.2480063	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus-Peribacillus;Peribacillus_muralis-simplex:[Brevibacterium]_frigoritolerans
DQ207728	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_encheleia-hydrophila-media
FR870443	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_caviae-enteropelogenes-hydrophila
NR_136429	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Edwardsiella;Edwardsiella_anguillarum-piscicida-tarda
CP006579.4405601.4407133	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_hydrophila-media-rivipollensis
AE006468	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella_enterica-phage-virus
X96963	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli:Shigella_boydii-flexneri
X74718	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_anguillarum-ordalii-qinghaiensis
FR733702	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylovorus;Methylovorus_glucosetrophus-glucosotrophus-mays
ACDY02000019	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria_cinerea-meningitidis-polysaccharea
NR_118568	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter_cancerogenus-cloacae-hormaechei
NR_074910	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella_enterica-phage-virus
CP013658.3461843.3463398	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli:Shigella_boydii-dysenteriae
CP026777.1537383.1538904	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli:Shigella_boydii-dysenteriae
CP013663.3989880.3991435	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli:Shigella_flexneri-sonnei
CP012930.2760878.2762433	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella_enterica-phage-virus
LT906437.1586216.1587744	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria_cinerea-gonorrhoeae-meningitidis
CP008897.4512826.4514366	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter_cancerogenus-cloacae-hormaechei
CP009997.3099158.3100688	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia_frederiksenii-intermedia-kristensenii
CP024672.4475313.4476864	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter_freundii-portucalensis-youngae
CP021749.2984696.2986249	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter_cloacae-hormaechei-ludwigii
CP026828.854864.856385	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella_boydii-dysenteriae-flexneri
CP000285	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Chromohalobacter-Halomonas;Chromohalobacter_israelensis-salexigens:Halomonas_elongata
Y17657	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_pneumoniae-quasipneumoniae-variicola
CP002824	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella-Raoultella;Klebsiella_aerogenes:Raoultella_ornithinolytica-planticola
NR_115117.1	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Cycloclasticus;Cycloclasticus_pugetii-spirillensus-zancles
CP012883.3598941.3600494	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_pneumoniae-quasipneumoniae-variicola
CP014294.4312290.4313843	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_pneumoniae-quasivariicola-variicola
CP013711.1115087.1116640	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_pneumoniae-quasipneumoniae-variicola
CP014755.4052364.4053917	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_pneumoniae-quasivariicola-variicola
CP004887.418260.419813	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter-Klebsiella;Enterobacter_cloacae:Klebsiella_michiganensis-oxytoca
CP015025.257419.258972	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_granulomatis-pneumoniae-quasipneumoniae
CP017802.317061.318614	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella-Raoultella;Klebsiella_aerogenes:Raoultella_ornithinolytica-planticola
CP008886.85097.86635	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella-Raoultella;Klebsiella_aerogenes:Raoultella_ornithinolytica-planticola
